id,message,label
569,What are the real world applications of a decision tree?,0
570,What are some applications of decision trees?,0
571,What are some practical business uses of decision trees?,0
572,Where are decision trees used in today's scenario?,0
573,What are decision trees commonly used for?,0
574,What is a simple example of a decision tree?,0
575,"Question""Is data science a good career for the next 10 to 20 years? Many say that it will change and it isn?t really the best choice",0
576,"What should I be doing to build a career in Machine Learning? Where do I begin, and what are my options?",0
577,"Who gets paid more, Data Scientists or Machine Learning engineers?",0
578,"Who pays more salary, a data science/AI/ML startup or an MNC?",0
579,I want to pursue my career in machine learning after 10 years of experience as embedded software engineer. How do I make a smooth transition?,0
580,Is data science a good choice for a long-term career?,0
581,I want to make a career in machine learning and artificial intelligence in India. What should be my career path?,0
582,What is the scope of machine learning as a fresher or with a PG degree in ML and AI?,0
583,How can ML be good for a fresher for placement?,0
584,Is there any future in a machine learning career?,0
585,"Is data science a good career for the next 10 to 20 years? Many say that it will change and it isn?t really the best choice, but is that true?",0
586,"What should I be doing to build a career in Machine Learning? Where do I begin, and what are my options?",0
587,"Who gets paid more, Data Scientists or Machine Learning engineers?",0
588,"Who pays more salary, a data science/AI/ML startup or an MNC?",0
589,I want to pursue my career in machine learning after 10 years of experience as embedded software engineer. How do I make a smooth transition?,0
590,Is data science a good choice for a long-term career?,0
591,I want to make a career in machine learning and artificial intelligence in India. What should be my career path?,0
592,What is the scope of machine learning as a fresher or with a PG degree in ML and AI?,0
593,How can ML be good for a fresher for placement?,0
594,Is there any future in a machine learning career?,0
595,What is the scope of machine learning in the future?,0
596,Are machine learning and data science jobs secure in the covid 19 period?,0
597,"I am working as a machine learning engineer, but I don't feel qualified enough for this position. What should I do? How do I explain to my boss that I may not be the right person for the position?",0
598,Is it possible to become a data scientist in 2020 with only a few resources?,0
599,I'm a software engineer having ~2 years of experience and want to switch my career path to machine learning. Should I quit my job and start applied AI course and related projects? Is that too risky?,0
600,"Is data science a good career for the next 10 to 20 years? Many say that it will change and it isn?t really the best choice, but is that true?",0
601,"What should I be doing to build a career in Machine Learning? Where do I begin, and what are my options?",0
602,"Who gets paid more, Data Scientists or Machine Learning engineers?",0
603,"Who pays more salary, a data science/AI/ML startup or an MNC?",0
604,I want to pursue my career in machine learning after 10 years of experience as embedded software engineer. How do I make a smooth transition?,0
605,Is data science a good choice for a long-term career?,0
606,QuestionIs blockchain a good career in 2020?,0
607,What are the AI and ML starting salaries in India?,0
608,"Who pays more salary, a data science/AI/ML startup or an MNC?",0
609,"Which field has a better career in the future, Data Science, ML, or AI?",0
610,"What are the most lucrative fields to study for the future? AI, IoT, etc.",0
611,"Which one should I choose, Blockchain or Data Science? I'm a CS student in 2nd year. I?m feeling confused about which field to choose.",0
612,I am very much interested in both blockchain and data science. I wanna fully focus one of them right now. Which one do I select and where do I start (I am a CS graduate with 1 year of experience)?,0
613,What is better blockchain or AI in terms of career?,0
614,"Which field has higher salaries, blockchain or machine learning?",0
615,"What is better, blockchain or AI in terms of career choice?",0
616,Is blockchain a good career in 2020?,0
617,What are the AI and ML starting salaries in India?,0
618,"Who pays more salary, a data science/AI/ML startup or an MNC?",0
619,"Which field has a better career in the future, Data Science, ML, or AI?",0
620,"What are the most lucrative fields to study for the future? AI, IoT, etc.",0
621,"Which one should I choose, Blockchain or Data Science? I'm a CS student in 2nd year. I?m feeling confused about which field to choose.",0
622,I am very much interested in both blockchain and data science. I wanna fully focus one of them right now. Which one do I select and where do I start (I am a CS graduate with 1 year of experience)?,0
623,What is better blockchain or AI in terms of career?,0
624,"Which field has higher salaries, blockchain or machine learning?",0
625,"What is better, blockchain or AI in terms of career choice?",0
626,"Which is better, AI or IoT?",0
627,What is the starting salary of an IoT engineer?,0
628,"Which is most demanding in 2019, AI or IOT?",0
629,"What is better, AI, ML, or data science?",0
630,"Which course is the best among IoT, AI, or data science for MBAs?",0
631,Is blockchain a good career in 2020?,0
632,What are the AI and ML starting salaries in India?,0
633,"Who pays more salary, a data science/AI/ML startup or an MNC?",0
634,"Which field has a better career in the future, Data Science, ML, or AI?",0
635,"What are the most lucrative fields to study for the future? AI, IoT, etc.",0
636,"Which one should I choose, Blockchain or Data Science? I'm a CS student in 2nd year. I?m feeling confused about which field to choose.",0
637,"Question""Which course is better among machine learning(ML)",0
638,"I am interested in IOT and ML, AI equally so which one should I choose. But I am still a very beginner in all the fields?",0
639,"Which is better, AI or IoT?",0
640,What is the future of IOT and AI in India?,0
641,What is better to learn IoT or machine learning to get a good job?,0
642,"What's difference between IOT, AI and ML?",0
643,Which is better from career perspective: IOT or Big data?,0
644,What is the average salary of an IOT Specialist?,0
645,Which certification should I take to become certified expert in IOT (Internet of Things)?,0
646,How do I get a job in IOT as a fresher?,0
647,"Which course is better among machine learning(ML), artificial intelligence(AL), and IOT?",0
648,"I am interested in IOT and ML, AI equally so which one should I choose. But I am still a very beginner in all the fields?",0
649,"Which is better, AI or IoT?",0
650,What is the future of IOT and AI in India?,0
651,What is better to learn IoT or machine learning to get a good job?,0
652,"What's difference between IOT, AI and ML?",0
653,Which is better from career perspective: IOT or Big data?,0
654,What is the average salary of an IOT Specialist?,0
655,Which certification should I take to become certified expert in IOT (Internet of Things)?,0
656,How do I get a job in IOT as a fresher?,0
657,What is the best way to learn Internet of things (IOT)?,0
658,What is the difference between robotics and IOT?,0
659,What is difference between machine learning and IOT?,0
660,How do I begin a career in Internet of Things(IOT)?,0
661,What should I know and do to build a career in IOT?,0
662,"Which course is better among machine learning(ML), artificial intelligence(AL), and IOT?",0
663,"I am interested in IOT and ML, AI equally so which one should I choose. But I am still a very beginner in all the fields?",0
664,"Which is better, AI or IoT?",0
665,What is the future of IOT and AI in India?,0
666,What is better to learn IoT or machine learning to get a good job?,0
667,"What's difference between IOT, AI and ML?",0
668,QuestionHow did you get rid of your depression?,1
669,Why do I get depressed & feel like I'm missing out on life whenever I'm embarking on self improvement work that requires isolation and mindfulness?,1
670,How do I get through long periods of depression?,1
671,Should I get myself isolated or act normal if I am depressed?,1
672,"During this time of isolation, I feel like I'm slowly entering a depressive state. I can't go outside due to serious allergies and at home It's like one second I'm happy and the other I feel so empty. Is there anything I can do to avoid depression?",1
673,How are you staying connected with friends during self-isolation?,1
674,"Thinking about life and existence too much makes me depressed. I truly think life is pointless. Everything that we do, every dream we have won?t be there forever. Everything will be wiped out. How do I overcome existential depression?",1
675,I?m 18 & have been depressed since I was 8 years old. I had a sheltered upbringing and was socially isolated and still am. Is there any advice for me?,1
676,How can I break out of the isolation that my depression causes?,1
677,"Why do I always want to isolate myself, yet feel depressed because I avoid close friendships?",1
678,How did you get rid of your depression?,1
679,Why do I get depressed & feel like I'm missing out on life whenever I'm embarking on self improvement work that requires isolation and mindfulness?,1
680,How do I get through long periods of depression?,1
681,Should I get myself isolated or act normal if I am depressed?,1
682,"During this time of isolation, I feel like I'm slowly entering a depressive state. I can't go outside due to serious allergies and at home It's like one second I'm happy and the other I feel so empty. Is there anything I can do to avoid depression?",1
683,How are you staying connected with friends during self-isolation?,1
684,"Thinking about life and existence too much makes me depressed. I truly think life is pointless. Everything that we do, every dream we have won?t be there forever. Everything will be wiped out. How do I overcome existential depression?",1
685,I?m 18 & have been depressed since I was 8 years old. I had a sheltered upbringing and was socially isolated and still am. Is there any advice for me?,1
686,How can I break out of the isolation that my depression causes?,1
687,"Why do I always want to isolate myself, yet feel depressed because I avoid close friendships?",1
688,What are some of the most effective ways to fight depression?,1
689,How does one get out of a life long depression?,1
690,"Has anything ever happened that suddenly lifted you out of a deep, long-term depression without medication or other typical intervention?",1
691,What are the best ways to prevent depression and isolation?,1
692,How do I get regular medication during self-isolation?,1
693,How did you get rid of your depression?,1
694,Why do I get depressed & feel like I'm missing out on life whenever I'm embarking on self improvement work that requires isolation and mindfulness?,1
695,How do I get through long periods of depression?,1
696,Should I get myself isolated or act normal if I am depressed?,1
697,"During this time of isolation, I feel like I'm slowly entering a depressive state. I can't go outside due to serious allergies and at home It's like one second I'm happy and the other I feel so empty. Is there anything I can do to avoid depression?",1
698,How are you staying connected with friends during self-isolation?,1
